iter	RMSE
0	0.6429340891
1	0.6265610076
2	0.6115566549
3	0.5972889807
4	0.584674321
5	0.5729056568
6	0.5616506501
7	0.5512705729
8	0.5414969918
9	0.5322642916
10	0.5235311813
11	0.5155890699
12	0.5080686795
13	0.5015095651
14	0.4951808637
15	0.4891398709
16	0.4836745863
17	0.4785450746
18	0.4739917849
19	0.4697052798
20	0.4658656746
21	0.4623179739
22	0.4589031685
23	0.455699608
24	0.4525933719
25	0.4496773127
26	0.4469455431
27	0.4444404739
28	0.4423318553
29	0.4400074667
30	0.4378928599
31	0.4360006676
32	0.4340158718
33	0.4321608229
34	0.4305742734
35	0.4288818303
36	0.4275522192
37	0.4260248371
38	0.4245798523
39	0.4232689498
40	0.4220923972
41	0.4209697038
42	0.4200506065
43	0.419155919
44	0.4181119391
45	0.4172046116
46	0.4164875624
47	0.4155618449
48	0.4147624355
49	0.4140915293
50	0.4133460684
51	0.4127279993
52	0.4119952842
53	0.4115024489
54	0.4108630419
55	0.4103577785
56	0.4100094312
57	0.4094511128
58	0.4089776898
59	0.408531275
60	0.4080220534
61	0.4075146191
62	0.4069573629
63	0.4065817851
64	0.4061422146
65	0.4057561432
66	0.4054603674
67	0.4051642228
68	0.4048937658
69	0.4046432716
70	0.4043754506
71	0.4040109672
72	0.4037350026
73	0.4033681995
74	0.4030478745
75	0.4028374622
76	0.4024738562
77	0.402205551
78	0.4020107288
79	0.4018163694
80	0.4016317934
81	0.4012927388
82	0.4010085999
83	0.4007660806
84	0.400406125
85	0.4001532102
86	0.3999486174
87	0.3997275362
88	0.3994929267
89	0.3992902784
90	0.3990646028
91	0.3987349066
92	0.3985477462
93	0.3983838712
94	0.3981908771
95	0.3980442462
96	0.3979097681
97	0.397662292
98	0.3974862924
99	0.3974695336
100	0.3972951871
101	0.3971306069
102	0.3969772029
103	0.3966966022
104	0.3964330786
105	0.3962003206
106	0.3958983542
107	0.3956895809
108	0.3954954627
109	0.3953771461
110	0.3952507395
111	0.3951495622
112	0.3950291194
113	0.3948291687
114	0.3944762995
115	0.3943154886
116	0.3941289089
117	0.3940027235
118	0.3938956879
119	0.3937966382
120	0.3937034893
121	0.3935731628
122	0.3934591088
123	0.3932895044
124	0.3930976163
125	0.3928522543
126	0.3926814553
127	0.3924943473
128	0.3924014353
129	0.3923435707
130	0.3922393109
131	0.39214814
132	0.3919864832
133	0.3917986291
134	0.3916441439
135	0.3915601045
136	0.39142287
137	0.3913278391
138	0.3912111751
139	0.3911449063
140	0.3910216926
141	0.3909119549
142	0.3908456919
143	0.3907829535
144	0.3906995096
145	0.3906352339
146	0.3906309164
147	0.3906267481
148	0.3904567746
149	0.3904036333
150	0.3902616163
151	0.3900896076
152	0.3898922688
153	0.3897812945
154	0.389679954
155	0.3895916451
156	0.3894702618
157	0.3894066204
158	0.3893414818
159	0.3893414815
160	0.389179406
161	0.3891192192
162	0.389112932
163	0.3890172986
164	0.3888597192
165	0.3887856448
166	0.3886553801
167	0.3885091649
168	0.3884298711
169	0.3883609742
170	0.3882261592
171	0.3880618062
172	0.3879739488
173	0.3878746898
174	0.3876945917
175	0.3875791436
176	0.3874737206
177	0.3873688276
178	0.3873031281
179	0.387276545
180	0.3871613522
181	0.3870566584
182	0.3869438348
183	0.3868118525
184	0.3866658016
185	0.3866068611
186	0.3864886658
187	0.3864430063
188	0.3863733799
189	0.3863443595
190	0.3861538789
191	0.3860376375
192	0.3859421936
193	0.3857434304
194	0.3856610334
195	0.3855282439
196	0.3854651308
197	0.385343789
198	0.3852264791
199	0.3850969518
200	0.3849524984
201	0.3848474585
202	0.3847422919
203	0.3846811976
204	0.3846133844
205	0.3844898934
206	0.3844213241
207	0.3842915548
208	0.384111918
209	0.3840052207
210	0.3839416639
211	0.3838649029
212	0.3837310148
213	0.3836435192
214	0.3834980253
215	0.3833920998
216	0.3832596235
217	0.3832153772
218	0.3831341285
219	0.3830339965
220	0.3829965957
221	0.3828926226
222	0.3827645642
223	0.3826693373
224	0.3825677723
225	0.3824600635
226	0.3823820496
227	0.382310054
228	0.3821824676
229	0.3819633226
230	0.3818602042
231	0.3817145558
232	0.3816154246
233	0.381547146
234	0.3815180555
235	0.3814177623
236	0.3812539737
237	0.381153138
238	0.381020538
239	0.3809032315
240	0.3807966981
241	0.3806681008
242	0.3805433823
243	0.3803968903
244	0.3802072346
245	0.3800432554
246	0.37987773
247	0.3797937938
248	0.3796398011
249	0.3795307679
250	0.3794212891
251	0.3793291644
252	0.3792079151
253	0.3790916633
254	0.3789376428
255	0.3788575606
256	0.3786946052
257	0.3786295336
258	0.3785516736
259	0.3784855344
260	0.3783928242
261	0.3783274069
262	0.3782390257
263	0.3781355405
264	0.3780048856
265	0.3778759519
266	0.3777883368
267	0.3776969359
268	0.3776016397
269	0.3774491162
270	0.3774002037
271	0.3772931493
272	0.3772440257
273	0.3771182907
274	0.3770335394
275	0.3769339369
276	0.3768917972
277	0.3768241722
278	0.3766951806
279	0.3766184042
280	0.3765288441
281	0.3764044973
282	0.376278486
283	0.3762271332
284	0.3761506743
285	0.3760803209
286	0.3759630412
287	0.375871364
288	0.3757595373
289	0.3756350008
290	0.3756297155
291	0.3754908216
292	0.3753908497
293	0.3752914532
294	0.375162907
295	0.3750498258
296	0.3749829467
297	0.3748917142
298	0.3747946143
299	0.3747564741
300	0.3746538676
301	0.3745905705
302	0.3744661963
303	0.3743707661
304	0.3743670631
305	0.37427633
306	0.3741934873
307	0.3741466168
308	0.3741104073
309	0.3740144568
310	0.3739397022
311	0.3738715194
312	0.3737884034
313	0.3736829103
314	0.3736680844
315	0.373593153
316	0.3735327023
317	0.3733900055
318	0.3733152502
319	0.3732902296
320	0.3732248603
321	0.3731252605
322	0.3730165709
323	0.3729518162
324	0.372858169
325	0.3727889171
326	0.3727697989
327	0.3726869908
328	0.3726426003
329	0.3725327732
330	0.3724099637
331	0.3723212232
332	0.3722298486
333	0.3721419862
334	0.3720659613
335	0.3720458229
336	0.3718925883
337	0.371854776
338	0.3718474682
339	0.3717642415
340	0.371659903
341	0.3715707931
342	0.3715067349
343	0.3714501625
344	0.3714029462
345	0.3713146141
346	0.3712330745
347	0.3711461043
348	0.3710190003
349	0.3709597852
350	0.3708973522
351	0.3708501511
352	0.3707766953
353	0.37071123
354	0.3706688174
355	0.3705150241
356	0.3704113044
357	0.3703429929
358	0.3702974959
359	0.3702183878
360	0.3701374286
361	0.3700448867
362	0.3700317726
363	0.3699652824
364	0.3698916051
365	0.3698315956
366	0.3697464153
367	0.369654909
368	0.3695922088
369	0.369452227
370	0.3693411306
371	0.3692584013
372	0.3691941613
373	0.3691088467
374	0.3690439149
375	0.3689447364
376	0.3688673545
377	0.368836023
378	0.3687667197
379	0.3686904812
380	0.368628461
381	0.3685673589
382	0.3684846608
383	0.3684113586
384	0.3683375015
385	0.3682669866
386	0.3681853065
387	0.3681063128
388	0.3680498785
389	0.3679702476
390	0.3679489002
391	0.3678958512
392	0.3677459522
393	0.3676412087
394	0.3675996098
395	0.3675046852
396	0.3674153937
397	0.3672965932
398	0.3672443919
399	0.3672365371
400	0.3671528275
401	0.3671305544
402	0.3670876843
403	0.3670613869
404	0.3669743702
405	0.3668587249
406	0.3668359694
407	0.3667933508
408	0.3667406448
409	0.3666568655
410	0.3665862832
411	0.36650343
412	0.3664962288
413	0.3664257632
414	0.3663472343
415	0.3663325749
416	0.3662571532
417	0.3662561527
418	0.3661463243
419	0.3660800426
420	0.3660143376
421	0.3659692971
422	0.3659038828
423	0.3658379513
424	0.3657681267
425	0.3656914895
426	0.3656178124
427	0.3655601759
428	0.3655184057
429	0.3654096364
430	0.3653670209
431	0.3652946893
432	0.3652340914
433	0.3651616144
434	0.3650897414
435	0.365083904
436	0.3650283424
437	0.3649682764
438	0.3648805236
439	0.3648191173
440	0.3647225739
441	0.3647005162
442	0.3646318434
443	0.3645170386
444	0.3644574641
445	0.3644000396
446	0.3643694492
447	0.3643200403
448	0.3643020732
449	0.3642496753
450	0.3642050503
451	0.3642015365
452	0.3641265046
453	0.3641164006
454	0.3640566596
455	0.3640043543
456	0.3638784134
457	0.363830842
458	0.3637613517
459	0.3637272329
460	0.3636375093
461	0.3635729267
462	0.3634675922
463	0.3634051944
464	0.3633069505
465	0.3632457228
466	0.363155611
467	0.3630909211
468	0.3629670334
469	0.362927711
470	0.3628166495
471	0.3627023924
472	0.3626555889
473	0.362614609
474	0.3625562892
475	0.3625079364
476	0.3624161371
477	0.3623696657
478	0.3622800045
479	0.3622765897
480	0.3622340347
481	0.3622307629
482	0.3621485664
483	0.3620627802
484	0.3620149432
485	0.3619623938
486	0.3619333537
487	0.3618896089
488	0.3618090125
489	0.3617656179
490	0.3616807326
491	0.3616035666
492	0.3615000012
493	0.3614343352
494	0.3613711035
495	0.3613343071
496	0.3612466663
497	0.3611987641
498	0.3611505848
499	0.3610713326
500	0.3610229813
501	0.3609182372
502	0.3608729385
503	0.3608666763
504	0.3608275612
505	0.3608102389
506	0.3607765763
507	0.3606979369
508	0.3606192727
509	0.3605668425
510	0.360515186
511	0.3604183155
512	0.3603115072
513	0.3602383457
514	0.3602054132
515	0.3601625822
516	0.3601046758
517	0.3600483924
518	0.3599321805
519	0.3598514211
520	0.3598433804
521	0.3597468944
522	0.3597456486
523	0.3596823776
524	0.3595586291
525	0.3595561118
526	0.3595179764
527	0.3594982417
528	0.3593712576
529	0.3593240708
530	0.3592467111
531	0.3591974809
532	0.3591291092
533	0.3590360972
534	0.3589772535
535	0.3588381861
536	0.3588223131
537	0.35879247
538	0.3587429512
539	0.3586628264
540	0.3585605655
541	0.3585236053
542	0.3584953163
543	0.3584286214
544	0.3583001725
545	0.3582617274
546	0.3582349218
547	0.3581804228
548	0.3580801871
