iter	Passed	Remaining
0	101	65553
1	203	66095
2	311	67149
3	434	70223
4	556	71790
5	627	67373
6	748	68728
7	861	69144
8	967	68940
9	1079	69090
10	1196	69497
11	1318	70103
12	1437	70427
13	1552	70522
14	1660	70313
15	1765	69943
16	1877	69892
17	1979	69485
18	2098	69700
19	2207	69543
20	2308	69140
21	2412	68869
22	2518	68653
23	2631	68632
24	2735	68389
25	2845	68303
26	2949	68051
27	3054	67842
28	3160	67672
29	3268	67544
30	3374	67377
31	3478	67180
32	3583	67001
33	3688	66825
34	3792	66644
35	3896	66461
36	4000	66275
37	4105	66113
38	4214	66019
39	4316	65829
40	4419	65651
41	4521	65450
42	4628	65338
43	4728	65121
44	4835	65005
45	4942	64890
46	5048	64773
47	5151	64607
48	5254	64451
49	5357	64290
50	5459	64127
51	5560	63943
52	5662	63782
53	5766	63641
54	5871	63518
55	6070	64389
56	6216	64670
57	6361	64934
58	6507	65186
59	6653	65425
60	6786	65529
61	6932	65750
62	7072	65895
63	7285	66709
64	7439	66959
65	7592	67183
66	7733	67293
67	7860	67277
68	7995	67322
69	8127	67345
70	8260	67363
71	8423	67621
72	8565	67702
73	8709	67795
74	8841	67781
75	8996	67949
76	9152	68110
77	9296	68177
78	9438	68223
79	9573	68214
80	9704	68171
81	9837	68141
82	9965	68075
83	10094	68016
84	10227	67982
85	10360	67945
86	10498	67937
87	10623	67842
88	10752	67780
89	10892	67778
90	11016	67675
91	11152	67642
92	11283	67578
93	11410	67493
94	11554	67504
95	11691	67470
96	11816	67365
97	11946	67287
98	12081	67239
99	12133	66735
100	12270	66700
101	12398	66611
102	12540	66598
103	12660	66467
104	12874	66822
105	13019	66814
106	13178	66877
107	13324	66867
108	13459	66802
109	13587	66703
110	13742	66730
111	13879	66672
112	14006	66560
113	14130	66440
114	14267	66374
115	14392	66254
116	14518	66138
117	14649	66048
118	14779	65948
119	14911	65860
120	15035	65733
121	15156	65593
122	15276	65451
123	15438	65490
124	15580	65436
125	15720	65376
126	15867	65344
127	16020	65331
128	16165	65287
129	16298	65194
130	16439	65131
131	16620	65224
132	16759	65149
133	16884	65019
134	17027	64955
135	17165	64876
136	17311	64823
137	17485	64873
138	17647	64877
139	17818	64910
140	17996	64964
141	18160	64969
142	18292	64855
143	18435	64781
144	18570	64676
145	18687	64508
146	18727	64081
147	18782	63706
148	18895	63534
149	19037	63458
150	19153	63295
151	19273	63147
152	19387	62977
153	19508	62832
154	19626	62677
155	19734	62493
156	19845	62318
157	19972	62192
158	20094	62052
159	20114	61599
160	20227	61435
161	20339	61268
162	20388	60916
163	20507	60773
164	20629	60637
165	20741	60474
166	20865	60346
167	20976	60182
168	21089	60024
169	21200	59859
170	21309	59692
171	21425	59542
172	21530	59365
173	21640	59199
174	21753	59046
175	21869	58898
176	21978	58732
177	22087	58568
178	22194	58398
179	22303	58236
180	22416	58085
181	22530	57935
182	22648	57796
183	22765	57657
184	22883	57519
185	23001	57380
186	23120	57244
187	23235	57100
188	23349	56952
189	23464	56807
190	23586	56682
191	23699	56533
192	23807	56373
193	23920	56226
194	24036	56084
195	24144	55926
196	24250	55763
197	24357	55604
198	24468	55454
199	24583	55312
200	24693	55161
201	24808	55021
202	24927	54890
203	25038	54741
204	25151	54596
205	25262	54448
206	25370	54295
207	25485	54156
